Trade Date	High	Low	Open	Close	Volume	Prev. Close	Total Turnover	Num. Of Trans.
1/12/2017	3,000	2,970	3,000	3,000	708	2,910	2123,000	7
4/12/2017	3,010	2,960	2,980	3,000	1250	3,000	3746,000	7
5/12/2017	3,000	3,000	3,000	3,000	1500	3,000	4500,000	2
6/12/2017	2,980	2,950	2,970	2,960	2565	3,000	7598,000	13
7/12/2017	2,960	2,960	2,960	2,960	100	2,960	296,000	1
8/12/2017	2,980	2,970	2,970	2,980	100	2,960	297,000	2
11/12/2017	3,000	2,920	2,970	3,000	1950	2,980	5835,000	8
12/12/2017	3,000	2,990	2,990	3,000	2450	3,000	7345,000	2
13/12/2017	2,980	2,980	2,980	2,980	460	3,000	1370,000	4
14/12/2017	3,000	3,000	3,000	3,000	474	2,980	1422,000	1
15/12/2017	3,020	2,980	3,020	2,990	1713	3,000	5125,000	11
18/12/2017	3,000	2,950	2,960	2,970	3173	2,990	9401,000	11
19/12/2017	3,030	2,970	2,970	2,970	218850	2,970	656081,000	23
20/12/2017	2,990	2,960	2,960	2,970	1247	2,970	3718,000	3
21/12/2017	2,970	2,950	2,970	2,970	628	2,970	1861,000	4
22/12/2017	2,980	2,950	2,950	2,980	1002	2,970	2970,000	4
27/12/2017	3,020	2,970	3,000	2,980	2050	2,980	6115,000	11
28/12/2017	2,980	2,970	2,980	2,970	700	2,980	2083,000	5
29/12/2017	3,010	2,970	2,970	3,010	7500	2,970	22475,000	9
2/1/2018	3,060	3,000	3,000	3,060	9559	3,010	29060,000	20
3/1/2018	3,210	3,080	3,090	3,210	25864	3,060	81532,000	70
4/1/2018	3,210	3,170	3,200	3,190	3381	3,210	10788,000	19
5/1/2018	3,220	3,180	3,200	3,220	4371	3,190	13967,000	23
8/1/2018	3,250	3,210	3,250	3,220	4074	3,220	13134,000	37
9/1/2018	3,200	3,150	3,200	3,200	11510	3,220	36693,000	51
10/1/2018	3,200	3,170	3,200	3,200	5240	3,200	16657,000	26
11/1/2018	3,210	3,190	3,190	3,200	4042	3,200	12930,000	23
12/1/2018	3,220	3,190	3,210	3,220	4333	3,200	13879,000	19
15/1/2018	3,240	3,220	3,230	3,240	350	3,220	1130,000	7
16/1/2018	3,240	3,210	3,220	3,230	5735	3,240	18481,000	19
17/1/2018	3,230	3,160	3,230	3,210	105649	3,230	338165,000	60
18/1/2018	3,220	3,190	3,220	3,210	38526	3,210	123294,000	57
19/1/2018	3,360	3,200	3,220	3,360	195185	3,210	628728,000	84
22/1/2018	3,540	3,360	3,360	3,460	416775	3,360	1438138,000	107
23/1/2018	3,600	3,510	3,520	3,570	8340	3,460	29728,000	57
24/1/2018	3,650	3,510	3,570	3,650	12161	3,570	43537,000	43
25/1/2018	3,760	3,530	3,640	3,730	18468	3,650	67825,000	75
26/1/2018	3,760	3,700	3,710	3,700	4099	3,730	15198,000	26
29/1/2018	3,750	3,620	3,700	3,730	5172	3,700	19011,000	28
30/1/2018	3,800	3,640	3,690	3,690	11860	3,730	44145,000	54
31/1/2018	3,790	3,550	3,700	3,730	6402	3,690	23441,000	34
1/2/2018	3,760	3,620	3,760	3,700	4416	3,730	16158,000	29
2/2/2018	3,660	3,570	3,660	3,590	986	3,700	3544,000	14
5/2/2018	3,580	3,400	3,480	3,520	7943	3,590	27613,000	48
6/2/2018	3,550	3,350	3,390	3,550	17510	3,520	59895,000	85
7/2/2018	3,600	3,470	3,500	3,500	3560	3,550	12543,000	23
8/2/2018	3,450	3,410	3,450	3,410	1000	3,500	3425,000	4
9/2/2018	3,580	3,370	3,370	3,480	9000	3,410	30797,000	54
12/2/2018	3,510	3,480	3,480	3,480	1151	3,480	4018,000	8
13/2/2018	3,720	3,500	3,500	3,520	142817	3,480	501159,000	140
14/2/2018	3,700	3,540	3,600	3,610	69719	3,520	250827,000	65
15/2/2018	3,730	3,640	3,690	3,730	11792	3,610	43614,000	46
16/2/2018	3,700	3,660	3,700	3,680	4850	3,730	17870,000	14
20/2/2018	3,670	3,600	3,600	3,650	7670	3,680	27693,000	33
21/2/2018	3,700	3,620	3,700	3,620	993	3,650	3595,000	6
22/2/2018	3,690	3,600	3,610	3,690	4278	3,620	15477,000	32
23/2/2018	3,680	3,610	3,610	3,680	1625	3,690	5897,000	12
26/2/2018	3,650	3,600	3,650	3,610	8073	3,680	29160,000	37
27/2/2018	3,680	3,600	3,640	3,640	7567	3,610	27365,000	34
28/2/2018	3,670	3,620	3,670	3,640	490	3,640	1783,000	3
1/3/2018	3,700	3,580	3,580	3,650	6002	3,640	21775,000	22
2/3/2018	3,600	3,560	3,600	3,560	992	3,650	3557,000	12
5/3/2018	3,600	3,520	3,540	3,600	5916	3,560	21132,000	28
6/3/2018	3,640	3,500	3,540	3,640	14582	3,600	52260,000	52
7/3/2018	3,670	3,570	3,600	3,640	10202	3,640	36896,000	35
8/3/2018	3,790	3,620	3,620	3,790	4259	3,640	15555,000	18
9/3/2018	3,900	3,720	3,790	3,800	2788	3,790	10503,000	30
12/3/2018	3,800	3,800	3,800	3,800	392	3,800	1489,000	4
13/3/2018	3,970	3,800	3,800	3,870	8214	3,800	31769,000	39
14/3/2018	3,920	3,780	3,900	3,920	5317	3,870	20565,000	31
15/3/2018	3,980	3,820	3,950	3,940	7854	3,920	30628,000	52
16/3/2018	3,940	3,900	3,940	3,940	6905	3,940	27200,000	9
19/3/2018	3,920	3,800	3,870	3,900	261	3,940	1006,000	5
20/3/2018	3,870	3,800	3,870	3,800	3346	3,900	12768,000	26
21/3/2018	3,880	3,810	3,860	3,810	1224	3,800	4692,000	16
22/3/2018	3,860	3,700	3,860	3,700	1571	3,810	5881,000	18
23/3/2018	3,790	3,650	3,650	3,780	3630	3,700	13629,000	31
26/3/2018	3,800	3,720	3,780	3,760	617	3,780	2319,000	17
27/3/2018	3,780	3,710	3,730	3,760	1220	3,760	4581,000	13
28/3/2018	3,790	3,660	3,750	3,790	1508	3,760	5598,000	42
29/3/2018	3,800	3,770	3,770	3,800	70	3,790	264,000	4
3/4/2018	3,800	3,660	3,720	3,800	2665	3,800	9835,000	12
4/4/2018	3,850	3,800	3,800	3,800	1195	3,800	4545,000	11
5/4/2018	3,860	3,800	3,810	3,850	479	3,800	1835,000	21
10/4/2018	3,870	3,750	3,790	3,870	12008	3,850	45589,000	99
11/4/2018	3,860	3,860	3,860	3,860	154	3,870	594,000	1
12/4/2018	3,840	3,710	3,780	3,770	8693	3,860	32648,000	43
13/4/2018	3,900	3,730	3,760	3,900	11306	3,770	43525,000	29
16/4/2018	3,900	3,800	3,880	3,830	5298	3,900	20613,000	19
17/4/2018	3,930	3,850	3,850	3,930	2694	3,830	10472,000	26
18/4/2018	3,930	3,910	3,930	3,930	280	3,930	1099,000	3
19/4/2018	3,930	3,890	3,890	3,930	1511	3,930	5921,000	8
20/4/2018	3,930	3,900	3,930	3,920	745	3,930	2924,000	9
23/4/2018	3,920	3,840	3,880	3,920	1005	3,920	3885,000	8
24/4/2018	3,940	3,940	3,940	3,940	18	3,920	70,000	1
25/4/2018	3,940	3,850	3,920	3,940	721	3,940	2795,000	14
26/4/2018	3,940	3,930	3,930	3,940	549	3,940	2162,000	5
27/4/2018	4,000	3,900	3,940	3,980	4283	3,940	16916,000	36
30/4/2018	4,000	3,880	3,970	3,950	6127	3,980	24309,000	18
2/5/2018	3,970	3,930	3,940	3,970	4194	3,950	16520,000	21
3/5/2018	3,970	3,890	3,970	3,900	303897	3,970	1200272,000	21
4/5/2018	3,900	3,890	3,890	3,890	1085	3,900	4221,000	6
7/5/2018	3,890	3,780	3,890	3,870	3768	3,890	14380,000	53
8/5/2018	3,890	3,750	3,890	3,890	14610	3,870	55302,000	65
9/5/2018	3,970	3,840	3,900	3,970	23469	3,890	92604,000	124
10/5/2018	4,240	3,910	3,970	4,100	75625	3,970	308485,000	127
11/5/2018	4,200	4,100	4,130	4,160	67929	4,100	279828,000	96
14/5/2018	4,230	4,100	4,160	4,100	3087	4,160	12932,000	18
15/5/2018	4,150	4,000	4,150	4,000	3297	4,100	13492,000	27
16/5/2018	4,070	3,930	4,060	3,930	3400	4,000	13486,000	26
17/5/2018	4,060	4,000	4,000	4,020	6025	3,930	24158,000	37
18/5/2018	4,010	3,940	4,010	3,980	1577	4,020	6301,000	19
21/5/2018	4,020	3,910	4,020	4,000	4170	3,980	16572,000	26
22/5/2018	4,000	3,960	4,000	4,000	4674	4,000	18633,000	31
23/5/2018	3,990	3,950	3,990	3,960	2487	4,000	9877,000	17
24/5/2018	4,000	3,840	3,940	3,920	7560	3,960	29849,000	61
25/5/2018	3,960	3,860	3,960	3,900	6360	3,920	24913,000	30
29/5/2018	3,920	3,790	3,920	3,810	206815	3,900	815985,000	50
30/5/2018	4,000	3,730	3,850	3,910	26321	3,810	100393,000	131
31/5/2018	3,980	3,870	3,870	3,940	202080	3,910	808196,000	22
1/6/2018	3,970	3,940	3,940	3,950	2743	3,940	10835,000	19
4/6/2018	4,000	3,920	3,950	4,000	1858	3,950	7371,000	23
5/6/2018	4,050	3,960	3,960	4,040	2913	4,000	11696,000	19
6/6/2018	4,040	3,980	4,040	4,020	1050	4,040	4218,000	12
7/6/2018	4,100	4,020	4,020	4,030	9461	4,020	38525,000	63
8/6/2018	4,100	4,000	4,030	4,020	62517	4,030	255873,000	70
11/6/2018	4,040	3,980	4,040	4,000	6260	4,020	25049,000	47
12/6/2018	4,000	4,000	4,000	4,000	1640	4,000	6560,000	9
13/6/2018	4,020	3,960	4,000	4,000	1997	4,000	7967,000	15
14/6/2018	4,080	3,990	4,010	4,080	9120	4,000	36963,000	40
15/6/2018	4,100	4,050	4,090	4,100	6365	4,080	25946,000	21
18/6/2018	4,100	4,010	4,100	4,090	8533	4,100	34745,000	47
19/6/2018	4,100	4,030	4,030	4,100	3112	4,090	12573,000	14
20/6/2018	4,100	3,990	4,060	4,080	9009	4,100	36531,000	37
21/6/2018	4,080	4,040	4,060	4,080	2412	4,080	9761,000	20
22/6/2018	4,080	4,050	4,080	4,070	1885	4,080	7653,000	13
25/6/2018	4,060	4,040	4,050	4,060	1878	4,070	7590,000	15
26/6/2018	4,050	4,000	4,020	4,050	13889	4,060	55850,000	64
27/6/2018	4,070	4,000	4,000	4,070	11042	4,050	44473,000	72
28/6/2018	4,040	3,970	4,040	3,990	4161	4,070	16683,000	29
29/6/2018	4,050	4,010	4,010	4,050	1986	3,990	7984,000	21
2/7/2018	4,040	3,990	4,020	3,990	3050	4,050	12270,000	46
3/7/2018	4,080	3,990	4,040	4,030	8881	3,990	35709,000	77
4/7/2018	4,030	3,950	4,030	3,980	7435	4,030	29711,000	57
5/7/2018	4,030	3,980	4,000	4,030	2863	3,980	11404,000	14
6/7/2018	4,030	3,950	4,030	3,950	1175	4,030	4722,000	10
9/7/2018	4,060	3,980	3,980	4,030	2320	3,950	9361,000	18
10/7/2018	4,050	3,970	3,990	4,010	3585	4,030	14325,000	40
11/7/2018	4,030	3,990	4,010	4,010	3322	4,010	13295,000	21
12/7/2018	4,000	3,920	3,970	3,970	4792	4,010	18976,000	40
13/7/2018	3,970	3,890	3,970	3,970	9104	3,970	35711,000	51
16/7/2018	4,010	3,940	3,970	4,010	1520	3,970	6022,000	8
17/7/2018	4,030	3,990	4,000	4,030	3785	4,010	15142,000	24
18/7/2018	4,030	4,020	4,020	4,020	3394	4,030	13646,000	19
19/7/2018	4,040	4,000	4,030	4,040	39519	4,020	158887,000	26
20/7/2018	4,080	3,990	4,030	4,080	2743	4,040	11047,000	18
23/7/2018	4,080	4,030	4,040	4,040	4262	4,080	17226,000	42
24/7/2018	4,040	4,000	4,040	4,000	3625	4,040	14566,000	38
25/7/2018	4,000	3,990	3,990	4,000	1610	4,000	6437,000	6
26/7/2018	4,030	4,000	4,000	4,020	1630	4,000	6529,000	11
27/7/2018	4,070	3,990	4,020	4,070	1270	4,020	5070,000	13
30/7/2018	4,020	3,980	4,020	4,010	625	4,070	2495,000	16
31/7/2018	4,150	4,010	4,010	4,080	15574	4,010	63419,000	99
1/8/2018	4,060	4,030	4,060	4,040	2540	4,080	10295,000	17
2/8/2018	4,080	4,000	4,040	4,080	3080	4,040	12430,000	21
3/8/2018	4,130	4,100	4,110	4,100	1915	4,080	7879,000	17
6/8/2018	4,160	4,100	4,100	4,160	2885	4,100	11919,000	22
7/8/2018	4,250	4,140	4,150	4,250	7634	4,160	32018,000	28
8/8/2018	4,300	4,250	4,250	4,300	5615	4,250	24062,000	20
9/8/2018	4,320	4,240	4,320	4,270	2779	4,300	11898,000	26
10/8/2018	4,300	4,260	4,270	4,290	3825	4,270	16384,000	32
13/8/2018	4,300	4,260	4,280	4,280	2840	4,290	12181,000	15
14/8/2018	4,300	4,240	4,300	4,270	452	4,280	1925,000	5
16/8/2018	4,250	4,150	4,150	4,170	16253	4,270	68252,000	126
17/8/2018	4,200	4,140	4,180	4,140	1909	4,170	7952,000	28
20/8/2018	4,200	4,140	4,140	4,150	2365	4,140	9813,000	19
21/8/2018	4,260	4,030	4,180	4,030	4036	4,150	16552,000	59
22/8/2018	4,100	4,050	4,100	4,100	1289	4,030	5256,000	22
23/8/2018	4,120	4,000	4,120	4,100	2355	4,100	9516,000	33
24/8/2018	4,100	3,990	4,100	4,040	3909	4,100	15769,000	40
27/8/2018	4,020	3,990	3,990	4,020	2915	4,040	11686,000	15
28/8/2018	4,030	3,990	4,030	4,030	3339	4,020	13417,000	19
29/8/2018	4,020	3,910	4,020	3,990	17209	4,030	68068,000	176
30/8/2018	4,040	3,900	4,010	3,950	1774	3,990	6990,000	25
31/8/2018	3,980	3,890	3,960	3,920	4039	3,950	15781,000	53
3/9/2018	3,940	3,880	3,930	3,940	3625	3,920	14188,000	28
4/9/2018	3,950	3,880	3,910	3,930	5382	3,940	21136,000	23
5/9/2018	3,950	3,900	3,940	3,900	1040	3,930	4084,000	15
6/9/2018	3,930	3,800	3,910	3,800	2582	3,900	9909,000	21
7/9/2018	3,890	3,820	3,820	3,890	1553	3,800	6033,000	8
10/9/2018	3,900	3,850	3,880	3,890	3518	3,890	13683,000	20
11/9/2018	3,950	3,890	3,890	3,950	11624	3,890	45492,000	84
12/9/2018	3,950	3,910	3,950	3,920	4906	3,950	19277,000	21
13/9/2018	3,950	3,850	3,910	3,950	18213	3,920	71358,000	62
14/9/2018	3,950	3,900	3,950	3,930	166	3,950	650,000	5
17/9/2018	4,020	3,900	3,930	4,020	10775	3,930	42392,000	48
18/9/2018	4,340	4,080	4,080	4,340	134061	4,020	566150,000	151
19/9/2018	4,350	4,260	4,330	4,330	13165	4,340	56867,000	59
20/9/2018	4,500	4,230	4,370	4,500	9825	4,330	43126,000	49
21/9/2018	4,650	4,490	4,500	4,650	152402	4,500	694176,000	124
24/9/2018	4,820	4,650	4,650	4,700	86678	4,650	407855,000	114
